TIME,ECG,ECG_Filtered
20346000,5.00000,0.02499
20373032,5.00000,-0.17972
20401116,4.89247,-0.26854
20429200,3.28935,-0.61030
20457284,2.35582,0.24117
20484320,2.26295,0.54120
20511360,2.39980,0.11300
20538404,2.53666,-0.27036
20566476,2.18964,-0.45570
20594552,0.88465,-0.39941
20622636,0.01955,0.33391
20649640,0.00000,0.63457
20676688,0.00000,0.13823
20703756,1.51026,0.23032
20730796,4.42815,0.00958
20757832,4.33040,-1.51564
20785916,2.57576,-0.84600
20814000,0.91398,0.69587
20841036,0.05376,1.34187
20868036,0.00000,0.89201
20895116,0.04888,-0.08964
20923196,1.25611,-0.28871
20951272,0.25904,-1.34248
20979352,1.07038,0.07734
21006404,1.37341,-0.02163
21034472,0.89443,-0.14795
21062552,0.07331,0.12590
21089568,0.00000,0.59901
21116600,0.00000,0.29255
21143648,0.00000,-0.05817
21171720,0.00000,-0.20634
21199840,0.36657,-0.08601
21227916,2.23363,0.28800
21254960,4.25709,-0.20413
21283036,4.99022,-0.79047
21311116,4.99511,-0.35732
21339200,5.00000,0.39202
21366244,4.99511,0.60173
21393276,5.00000,0.41713
21420320,4.99511,0.10951
21447356,5.00000,-0.11336
21475440,5.00000,-0.21172
21503520,4.89247,-0.22776
21531600,4.13001,-0.30212
21559684,3.91496,0.19524
21586720,3.90029,0.20331
21613772,3.85142,-0.00297
21641836,4.03226,-0.02171
21669924,4.21799,-0.09285
21697992,4.00782,-0.19489
21726080,3.43109,-0.09253
21754156,2.97165,0.19587
21781196,2.60508,0.23406
21808244,2.34115,0.12168
21835276,3.65591,0.40689
21862320,1.73021,-1.17512
21890396,1.42229,0.25520
21917440,1.36852,0.40214
21944484,1.50538,0.14670
21971520,1.50538,-0.16249
21999596,1.46628,-0.18425
22027676,1.84262,0.04126
22054712,2.06256,-0.06378
22082796,2.03812,-0.09754
22110880,1.54936,-0.08206
22138960,1.15347,0.18607
22165996,1.29521,0.35811
22193040,1.46628,0.05974
22220084,1.49071,-0.19223
22248156,1.42229,-0.19470
22276240,1.01173,-0.16338
22304320,0.38612,-0.00451
22332400,0.08309,0.25348
22359436,0.35679,0.29710
22386476,0.49853,-0.09786
22414556,0.92375,-0.12858
22442640,1.71065,-0.07156
22470720,2.42424,-0.16740
22498800,2.98143,-0.14244
22526876,3.31378,-0.03503
22554956,3.48485,0.10364
22582000,3.30890,0.10755
22609044,3.26491,0.23633
22636080,3.11339,0.10789
22663116,2.20430,-0.20588
22691196,0.65494,-0.17559
22719280,0.00489,0.41076
22746280,0.00000,0.31233
22773320,0.00000,-0.20181
22801400,0.00000,-0.38797
22829480,0.00000,-0.28391
22857564,0.00000,-0.08443
22885680,0.13685,0.11262
22912716,0.76735,0.27115
22939764,1.49071,0.08423
22966792,1.58847,-0.24432
22994872,0.70381,-0.30152
23022956,0.03910,0.28358
23050000,0.01466,0.54778
23077044,0.02444,0.14072
23104072,0.25415,-0.11828
23132156,0.77224,-0.20080
23160236,1.41740,-0.23555
23188316,2.15054,-0.17177
23216404,2.77615,-0.10948
23244476,2.94721,-0.08989
23272564,2.81036,0.08164
23299596,2.79081,0.31168
23326636,3.04985,0.32133
23353680,3.11339,-0.00283
23381756,2.31672,-0.35106
23409844,2.34604,0.19776
23436880,2.05279,-0.03449
23464972,1.95992,-0.01225
23493040,2.60997,0.14035
23520080,3.59726,-0.05112
23548160,4.32551,-0.33698
23576236,4.56500,-0.33655
23604320,4.32063,-0.08484
23632392,4.19355,0.33323
23659436,4.82405,0.57081
23686480,4.99511,-0.01083
23714552,5.00000,-0.18804
23742636,5.00000,-0.10823
23770716,4.78006,-0.09165
23798800,3.66080,-0.23255
23826880,2.34604,0.08628
23853916,1.59824,0.44213
23880960,1.46139,0.33184
23907996,1.72043,-0.04832
23936080,2.15543,-0.33948
23964156,2.53177,-0.40745
23992240,2.71750,-0.26372
24020316,2.40958,-0.10448
24048396,2.19941,0.27635
24075444,2.25806,0.41087
24102476,2.37048,0.20214
24129512,2.09189,-0.12982
24157596,1.45161,-0.18597
24185676,0.93353,0.04663
24212716,0.81623,0.18965
24239756,0.99218,0.06843
24266800,1.19257,-0.15374
24294880,1.43695,-0.19219
24322956,1.76931,-0.10096
24351044,1.79374,-0.11670
24379120,1.62268,0.00792
24406164,1.66667,0.22818
24433196,1.77419,0.17747
24460240,1.98436,0.06764
24487276,2.18964,-0.05921
24515356,2.35582,-0.10755
24543436,2.31183,-0.12811
24571520,2.27273,0.00144
24598564,2.20919,0.05823
24625596,2.27273,0.09856
24652636,2.71261,0.12788
24679676,1.37830,-0.56994
24707752,1.00196,0.29565
24734808,0.17595,0.13567
24761796,0.00000,0.28202
24788840,0.00000,0.02310
24815880,0.00000,-0.21528
24844000,0.21994,-0.17189
24872084,0.69892,-0.07274
24900156,1.04106,-0.12178
24928236,1.12414,-0.09318
24956316,1.33920,0.13555
24983356,1.70088,0.20436
25010400,1.91593,0.05142
25037436,2.00880,-0.02156
25065524,1.96970,-0.02946
25093600,1.73509,-0.02810
25121672,0.94819,-0.10615
25149764,0.61584,0.23326
25176796,1.53959,0.46521
25203840,1.04106,-0.56369
25231916,0.00978,-0.45043
25259960,0.00000,0.36927
25287000,0.00000,0.20442
25314040,0.00000,-0.02540
25342120,0.00000,-0.11068
25370204,0.00000,-0.08645
25398328,0.06843,-0.00685
25426396,1.58358,0.42605
25453432,0.56207,-0.82591
25481520,0.01466,0.02971
25508520,0.00000,0.51107
25535568,0.00000,0.26132
25562604,0.00000,-0.01987
25590680,0.00000,-0.14722
25618760,0.00000,-0.14565
25646880,0.21505,-0.02445
25674964,2.83969,0.64238
25701988,4.23754,-0.60150
25730076,2.72727,-1.32150
25758156,0.24438,-0.10527
25786200,0.00000,1.64333
25813240,0.00000,0.90212
25840280,0.00000,-0.10707
25868364,0.00000,-0.56281
25896440,0.00000,-0.53666
25924524,0.00000,-0.29631
25952604,0.00000,-0.05005
25980680,0.00000,0.10495
26007756,0.94819,0.42538
26034796,4.37439,0.75118
26061840,4.98534,-1.18218
26089912,5.00000,-0.67891
26117996,5.00000,0.27607
26145040,5.00000,0.63033
26172076,5.00000,0.48534
26199120,5.00000,0.16941
26226156,4.98534,-0.09435
26254236,4.97556,-0.20942
26282320,4.61877,-0.30736
26310400,4.05181,-0.17080
26338488,3.64614,0.09118
26365520,3.55816,0.19433
26392560,4.86315,0.41334
26419596,3.20137,-1.05040
26447676,3.38221,0.36231
26474716,3.13783,0.17648
26501756,2.41935,-0.05613
26529840,1.00196,-0.13465
26557916,0.01955,0.29506
26584952,0.56207,0.62976
26612000,1.59824,0.00719
26639036,1.91593,-0.74533
26667124,0.23949,-1.03416
26695160,0.00000,0.53555
26722196,0.00000,0.63326
26749236,0.00000,0.22462
26776280,0.00000,-0.06768
26804364,0.00000,-0.16027
26832440,0.00000,-0.12874
26860524,0.00000,-0.05774
26888604,0.00000,0.00189
26915636,0.00000,0.03271
26942676,0.00000,0.03766
26969720,0.00000,0.02752
26996768,0.00000,0.01286
27023804,0.00000,0.00055
27050844,0.00000,-0.00661
27078956,2.38514,0.66732
27106000,4.96579,-0.17089
27134076,5.00000,-1.34706
27162156,5.00000,-0.25721
27190232,5.00000,0.53623
27217280,4.04203,0.38387
27244320,1.69599,0.08716
27271364,0.08798,0.64525
27298360,0.00000,0.73502
27325436,0.00489,-0.24505
27353476,0.00000,-0.75628
27381600,2.49756,0.04641
27408636,4.94624,-0.54779
27436716,5.00000,-1.27345
27464804,5.00000,-0.01177
27492876,4.99511,0.79813
27519916,5.00000,0.85166
27546956,5.00000,0.48813
27573996,5.00000,0.08007
27601040,5.00000,-0.18712
27629116,5.00000,-0.27874
27657196,5.00000,-0.24240
27685280,5.00000,-0.14754
27713364,5.00000,-0.05031
27741440,5.00000,0.01872
27768480,5.00000,0.05190
27795528,5.00000,0.05584
