ECG,ECG_Filtered
337.732,-0.12765
342.620,0.06853
346.530,0.11988
299.120,-0.06417
0.87977,-0.40037
0.00978,0.60058
0.00000,0.58685
0.00000,-0.12203
0.00000,-0.45796
0.00000,-0.39910
0.00000,-0.17498
0.00000,0.03154
0.00000,0.14302
0.00000,0.16011
0.00000,0.11880
0.00000,0.05861
0.00000,0.00685
0.00000,-0.02449
0.00000,-0.03530
0.00000,-0.03170
0.00000,-0.02122
0.00000,-0.00992
0.00000,-0.00130
0.00000,0.00355
0.00000,0.00508
0.00000,0.00445
0.00000,0.00287
0.00000,0.00125
0.00000,0.00006
0.00000,-0.00058
0.00000,-0.00074
0.00000,-0.00062
0.00000,-0.00038
141.740,0.40163
482.893,0.43530
500.000,-145.933
499.511,-0.51153
500.000,0.43390
500.000,0.67814
500.000,0.46505
500.000,0.13147
500.000,-0.11739
500.000,-0.22120
500.000,-0.20753
500.000,-0.13361
500.000,-0.05041
500.000,0.01196
500.000,0.04394
500.000,0.04976
500.000,0.03953
500.000,0.02341
500.000,0.00853
500.000,-0.00155
463.832,-0.10891
495.601,0.21863
447.214,-0.20365
330.401,-0.23001
304.985,0.41227
355.327,0.39786
469.208,0.04026
500.000,-0.64723
500.000,-0.43945
500.000,0.04332
500.000,0.27751
500.000,0.26827
500.000,0.14691
499.511,0.01983
499.022,-0.05717
460.411,-0.18982
406.647,-0.07798
361.681,0.09284
351.417,0.18287
268.817,-0.21454
124.145,-0.22457
0.19550,0.24519
0.01466,0.44595
0.00000,0.00861
0.00000,-0.30127
0.00000,-0.30445
0.00000,-0.14441
0.00000,0.02153
0.00000,0.11640
0.40078,0.24677
143.695,0.24274
181.329,-0.29819
318.671,0.11443
418.377,-0.18145
489.247,-0.19979
500.000,-0.13625
500.000,0.18010
500.000,0.30653
500.000,0.20784
440.860,-0.12973
257.576,-0.38705
0.95797,0.18680
0.07820,0.48877
0.34702,0.37320
0.94819,-0.26721
169.110,-0.57834
307.429,-0.30889
445.259,-0.23672
499.022,-0.28629
500.000,0.07313
500.000,0.50185
500.000,0.51858
500.000,0.27765
460.899,-0.10276
346.530,-0.34008
253.666,0.01744
248.289,0.31547
291.789,0.05307
267.351,-0.53209
222.874,-0.36912
195.992,0.05284
317.693,0.60187
108.504,-0.91066
0.30303,0.39607
118.280,0.95052
0.89932,-0.27501
0.01466,-0.52482
0.00000,0.13735
0.00000,0.07062
0.00000,-0.04923
0.00000,-0.07475
0.00000,-0.03779
0.00000,0.00915
0.00000,0.03732
0.12219,0.07651
311.339,0.83269
498.045,-0.59859
500.000,-116.751
499.511,-0.08279
500.000,0.58273
499.511,0.60805
500.000,0.32705
493.646,-0.00334
315.738,-0.65456
0.22483,-0.37735
0.00000,113.869
0.00000,0.31995
0.00000,-0.46975
0.00000,-0.62689
0.00000,-0.38545
0.00000,-0.06280
0.00000,0.15903
0.59140,0.40393
463.343,112.828
500.000,-138.565
499.511,-0.70840
499.511,0.30255
371.945,0.28458
282.502,0.70651
165.689,0.36446
0.07331,-0.06473
0.01466,0.28824
0.01955,-0.29949
0.00000,-0.58253
0.00000,-0.43618
0.00000,-0.14878
0.00000,0.09173
0.00000,0.20840
0.00000,0.21101
0.70870,0.34834
480.450,0.96184
500.000,-159.406
500.000,-0.71727
499.511,0.32199
500.000,0.66546
500.000,0.49078
500.000,0.16215
499.511,-0.09914
493.157,-0.23136
121.212,-124.054
0.01955,0.92645
0.00000,0.97767
0.00000,-0.07287
0.54741,-0.44645
363.148,0.11959
498.534,-110.623
499.511,-0.91792
500.000,0.28581
500.000,0.84007
500.000,0.73656
500.000,0.34997
500.000,-0.01499
500.000,-0.22332
500.000,-0.26998
499.511,-0.21314
480.938,-0.16538
443.793,-0.06094
386.119,0.03629
320.626,0.13020
285.924,0.23680
279.570,0.13599
282.991,-0.07449
294.233,-0.16559
296.676,-0.18334
293.744,-0.08022
282.014,0.01905
281.525,0.13826
284.457,0.11173
283.480,0.02558
283.969,-0.00546
276.637,-0.04417
250.244,-0.07079
202.835,-0.04001
139.785,0.02791
0.08309,-0.09208
0.00000,0.49066
0.00000,0.09650
0.00000,-0.23587
0.00000,-0.28195
0.00000,-0.16121
0.27370,0.06211
339.198,0.86021
498.045,-0.65616
500.000,-0.98346
499.511,0.05239
499.511,0.62077
499.511,0.58721
500.000,0.27998
500.000,-0.02711
497.067,-0.20695
434.018,-0.39928
283.480,-0.36165
145.161,0.18203
0.61095,0.45892
0.77224,0.41094
157.380,-0.04340
285.435,-0.37776
418.377,-0.51772
378.299,-0.81469
0.67937,-0.62232
0.00489,158.244
0.00000,124.242
0.00000,0.10016
0.00000,-0.53336
0.00000,-0.59994
0.13196,-0.33707
251.222,0.52142
232.649,-0.88345
0.10264,-0.77529
0.00000,117.625
0.00000,0.84858
0.00000,0.13920
0.00000,-0.27045
0.45943,-0.21861
273.216,0.22782
483.871,-0.42477
499.511,-105.970
500.000,-0.08898
500.000,0.59587
500.000,0.65679
500.000,0.37329
500.000,0.04673
500.000,-0.16445
500.000,-0.23129
500.000,-0.19472
500.000,-0.11301
499.511,-0.03377
483.382,-0.02106
454.057,0.02571
429.130,0.11328
406.158,0.09886
379.277,0.02362
346.530,-0.02956
317.693,-0.01203
257.087,-0.10826
0.28837,-0.46701
0.00000,0.78325
0.00978,0.37495
0.00000,-0.22401
0.00000,-0.39745
0.00000,-0.27954
0.00000,-0.07705
0.00000,0.07672
0.00000,0.14053
0.00000,0.13044
0.00000,0.08259
0.00000,0.02938
0.00000,-0.01006
0.21994,0.03250
216.520,0.43603
433.040,-0.17715
493.157,-0.95391
462.854,-0.49133
101.173,-0.53605
0.01466,172.046
0.00000,134.190
0.00000,-0.02720
0.00000,-0.75184
0.00000,-0.77152
0.00000,-0.44502
0.00000,-0.08604
0.00000,0.14851
0.00978,0.23426
0.44477,0.32409
251.711,0.54927
411.535,-0.34820
499.511,-0.66338
500.000,-0.41112
499.511,0.28308
500.000,0.51891
500.000,0.36507
500.000,0.09939
500.000,-0.10415
500.000,-0.18948
500.000,-0.17655
381.720,-0.44809
0.88465,-0.42886
0.00978,105.458
0.00000,0.75076
0.00489,-0.19880
123.656,-0.24897
312.317,-0.41585
406.158,-0.82937
437.439,-0.40935
472.629,0.34768
412.512,0.33881
497.067,0.97593
499.511,0.08192
500.000,-0.15201
500.000,-0.17728
500.000,-0.14707
500.000,-0.10477
486.804,-0.09911
400.782,-0.21847
371.945,0.26542
418.377,0.38723
410.068,-0.21009
359.238,-0.33074
342.620,0.05992
335.777,0.13040
295.699,-0.04658
281.525,0.09171
239.492,-0.04601
169.110,-0.07750
158.358,0.22727
215.054,0.23134
277.615,-0.14456
303.519,-0.39527
343.597,-0.12649
369.013,0.00233
301.564,-0.13292
268.817,0.33749
308.407,0.51280
326.979,-0.00973
417.889,-0.00821
302.542,-0.85652
378.299,0.43443
362.170,-0.06648
202.835,-0.41997
0.86510,0.31886
140.274,0.87756
250.244,0.18900
292.278,-0.71093
291.789,-0.66486
307.429,-0.07058
347.507,0.28341
374.878,0.19972
317.204,-0.11111
142.229,-0.19227
0.44966,0.55015
0.88465,0.75126
189.638,0.03804
249.267,-0.73291
282.014,-0.68353
329.423,-0.15576
440.860,0.32797
497.067,0.03144
425.220,-0.25813
261.486,0.01033
123.167,0.60024
0.41056,0.64777
0.68426,0.38474
166.667,-0.21352
225.318,-0.85065
331.378,-0.49182
217.009,-0.84929
284.946,0.75409
288.368,0.41366
204.301,0.00407
117.302,0.18540
0.90909,0.39459
150.049,0.28163
251.711,-0.16976
313.783,-0.62436
315.738,-0.57150
183.773,-0.39120
0.12708,0.31407
0.00000,114.654
0.00000,0.42581
0.00000,-0.25217
0.10753,-0.43608
0.23460,-0.36246
0.00000,-0.27688
0.00000,0.10570
0.00000,0.18183
0.10753,0.17364
0.97752,0.28380
188.172,-0.06543
245.846,-0.32012
177.419,-0.50291
0.81134,0.07189
0.48387,0.63789
0.84555,0.54107
163.245,0.04651
243.891,-0.40413
442.815,-0.11444
306.940,-130.663
337.732,0.46390
318.182,0.46770
307.918,0.38983
265.396,0.06773
158.847,-0.18814
0.61095,0.03190
0.29326,0.25661
0.03910,-0.04018
0.00000,-0.17956
0.00000,-0.23872
0.00000,-0.16996
0.10264,-0.01102
0.00000,-0.00165
0.00000,0.13433
0.00000,0.12897
0.00000,0.07609
0.00000,0.02244
0.00000,-0.01341
0.00978,-0.02617
0.06843,-0.01629
0.00489,-0.06302
0.51320,0.14767
0.72825,-0.11708
0.58162,-0.19694
0.38123,0.00194
0.02933,0.08916
0.30303,0.31905
0.64516,0.05870
0.67937,-0.23466
0.86022,-0.10374
0.89443,-0.07549
135.386,0.14309
265.396,0.26694
0.76246,-102.862
0.75269,0.56805
0.88954,0.51260
125.122,0.14308
155.914,-0.21138
168.622,-0.31688
165.689,-0.19117
188.661,0.09790
165.689,-0.03107
0.78690,-0.08905
0.05376,0.22925
0.01955,0.43074
0.00000,0.03232
0.00000,-0.21656
0.01466,-0.24069
0.62561,0.02268
125.611,-0.07822
194.526,-0.08379
247.801,-0.08004
260.997,-0.06340
267.351,0.13904
249.756,0.15549
250.733,0.23219
223.363,0.00326
187.683,-0.05327
183.284,0.05069
181.329,-0.06038
186.217,-0.10757
187.195,-0.12407
194.037,-0.04296
204.790,0.01396
194.526,-0.03096
163.245,-0.00628
259.531,0.46679
0.96774,-0.73493
133.431,0.53964
160.313,0.20758
191.593,-0.10180
231.183,-0.18486
231.183,-0.27272
217.986,-0.06873
233.138,0.21393
203.812,0.02219
151.515,0.01532
138.807,0.22041
109.971,0.01276
121.212,0.04922
145.650,-0.07602
158.847,-0.20376
205.767,-0.03078
250.733,-0.05128
246.823,-0.16455
267.351,0.13651
283.969,0.14637
274.194,0.01752
230.694,-0.04354
206.256,0.13362
195.503,0.11604
174.487,-0.05826
174.976,-0.03538
212.121,0.00790
218.475,-0.21508
219.453,-0.12616
248.289,0.10089
241.935,-0.03079
336.755,0.34229
166.667,-0.74849
195.503,0.62144
184.262,0.21191
184.262,-0.00736
205.767,-0.07838
200.880,-0.24095
211.144,-0.07455
226.295,0.00797
216.031,-0.04847
185.728,-0.00468
179.863,0.18182
176.442,0.10658
180.352,0.01791
193.548,-0.03768
184.751,-0.14943
191.105,-0.01088
216.520,0.06544
213.587,-0.08655
206.256,-0.02399
212.610,0.09058
238.025,0.10682
256.598,-0.03292
277.615,-0.05524
308.895,-0.01292
332.845,-0.04457
335.288,-0.07177
346.530,0.06350
355.327,0.06760
333.822,-0.04471
309.873,0.02861
296.676,0.09354
286.413,0.03475
430.596,0.40021
256.598,-110.745
282.991,0.41782
303.030,0.29903
320.137,0.01613
343.597,-0.08443
361.681,-0.11663
390.029,-0.02296
391.984,-0.07296
367.546,-0.03415
338.221,0.10230
326.491,0.19432
321.603,0.09052
254.154,-0.22303
123.167,-0.22319
0.38612,0.26131
0.41544,0.43434
0.93353,0.07101
137.830,-0.38088
158.847,-0.45547
173.998,-0.17338
215.543,0.17593
209.677,0.05421
214.076,0.19686
227.273,0.19665
225.806,0.02697
216.031,-0.04457
194.037,-0.06760
202.346,0.07052
241.447,0.06206
277.126,-0.12062
273.705,-0.25843
262.952,-0.06351
265.885,0.14806
260.508,0.10770
390.029,0.44784
144.184,-116.872
0.18573,0.32847
0.01955,0.87207
0.34213,0.33743
108.993,-0.21035
168.133,-0.59035
211.144,-0.47900
271.750,-0.05768
331.867,0.13956
341.153,0.05597
351.906,0.22436
355.816,0.21489
340.665,0.07813
269.795,-0.12251
101.173,-0.24557
0.02933,0.36292
0.00000,0.46808
0.18573,-0.08350
0.96774,-0.27686
168.133,-0.48275
210.166,-0.40681
211.632,-0.13636
131.476,0.03647
111.926,0.63286
156.403,0.61410
195.992,0.02814
197.947,-0.38255
170.577,-0.34246
162.268,0.00202
200.391,0.21607
230.694,-0.00039
254.643,-0.10441
284.946,-0.04525
294.721,-0.06503
445.748,0.43934
304.008,-0.87560
349.462,0.50921
334.311,0.16763
250.733,-0.13745
175.953,0.08286
237.537,0.50735
318.182,-0.02887
0.95308,-126.896
0.01466,0.25875
0.00000,0.74471
0.00000,0.18825
0.00000,-0.20930
0.00000,-0.28134
0.00000,-0.17043
0.00000,-0.02721
0.00000,0.06844
0.00000,0.09983
0.00000,0.08434
0.00000,0.04826
0.00000,0.01255
0.00000,-0.01175
0.00000,-0.02234
0.00000,-0.02221
0.00000,-0.01619
0.00000,-0.00862
0.00000,-0.00230
0.00000,0.00163
0.00000,0.00322
0.00000,0.00314
0.00000,0.00222
0.00000,0.00112
0.00000,0.00024
0.00000,-0.00029
0.00000,-0.00048
0.00000,-0.00044
0.00000,-0.00030
208.211,0.59007
447.214,-0.10367
499.511,-108.332
499.511,-0.42969
499.511,0.39886
499.511,0.62748
496.579,0.42224
307.918,-0.40542
119.257,0.06254
0.25415,0.53106
0.19550,0.29995
120.235,-0.08906
277.126,-0.53266
487.292,-0.57415
499.022,-104.765
500.000,0.00745
500.000,0.70066
500.000,0.74787
500.000,0.43798
499.511,0.07931
500.000,-0.15420
500.000,-0.24344
500.000,-0.21510
500.000,-0.13279
500.000,-0.04709
500.000,0.01441
500.000,0.04447
500.000,0.04870
500.000,0.03777
500.000,0.02166
500.000,0.00726
500.000,-0.00222
500.000,-0.00654
455.523,-0.13303
155.425,-0.68901
140.762,115.300
225.318,0.74440
400.293,-0.08087
499.022,-101.859
500.000,-0.96392
500.000,-0.03896
500.000,0.49303
500.000,0.53669
500.000,0.32550
500.000,0.07831
500.000,-0.09000
500.000,-0.15495
499.511,-0.14339
500.000,-0.08791
500.000,-0.03667
500.000,0.00442
490.225,-0.00134
425.220,-0.11652
340.665,0.04498
212.610,0.06667
0.67449,0.14878
0.00978,0.39222
0.00000,0.18045
0.00000,-0.30920
0.00978,-0.42540
0.00000,-0.27410
0.00000,-0.03975
0.00000,0.11835
0.00000,0.17185
0.09775,0.17464
162.268,0.48175
317.693,-0.12248
239.980,-105.956
491.202,0.84132
500.000,-0.48032
500.000,-0.11547
499.022,0.26843
413.001,0.07909
219.941,-0.05737
105.572,0.52545
195.503,0.81017
387.586,-0.02254
497.067,-113.346
500.000,-112.457
500.000,-0.11241
499.511,0.51075
500.000,0.60205
500.000,0.38654
500.000,0.11774
450.147,-0.21580
225.806,-0.60581
0.42522,0.24964
0.62072,0.96462
