 Time; ECG; ECG_filtered; ...
 19:26:51 ;3,26;3,05;
 19:26:51 ;1,99;2,25;
 19:26:51 ;2,54;2,45;
 19:26:51 ;3,13;2,93;
 19:26:51 ;3,45;3,3;
 19:26:51 ;3,26;3,27;
 19:26:51 ;2,92;3,03;
 19:26:51 ;2,48;2,65;
 19:26:51 ;1,95;2,16;
 19:26:51 ;1,51;1,7;
 19:26:51 ;1,25;1,39;
 19:26:51 ;1,21;1,26;
 19:26:51 ;1,41;1,36;
 19:26:51 ;1,76;1,64;
 19:26:51 ;2,21;2,04;
 19:26:51 ;2,7;2,5;
 19:26:51 ;3,13;2,94;
 19:26:51 ;3,38;3,25;
 19:26:51 ;3,36;3,33;
 19:26:51 ;2,93;3,05;
 19:26:51 ;2,34;2,55;
 19:26:51 ;1,78;2,01;
 19:26:52 ;1,91;1,94;
 19:26:52 ;1;1,28;
 19:26:52 ;1,3;1,29;
 19:26:52 ;1,62;1,52;
 19:26:52 ;2,03;1,88;
 19:26:52 ;2,57;2,36;
 19:26:52 ;3,12;2,9;
 19:26:52 ;3,4;3,25;
 19:26:52 ;3,21;3,22;
 19:26:52 ;2,92;3,01;
 19:26:52 ;2,47;2,63;
 19:26:52 ;1,97;2,17;
 19:26:52 ;1,52;1,71;
 19:26:52 ;1,24;1,38;
 19:26:52 ;1,2;1,25;
 19:26:52 ;1,39;1,35;
 19:26:52 ;1,77;1,64;
 19:26:52 ;2,19;2,03;
 19:26:52 ;2,7;2,5;
 19:26:52 ;3,17;2,97;
 19:26:52 ;3,44;3,3;
 19:26:52 ;3,43;3,39;
 19:26:52 ;2,92;3,06;
 19:26:52 ;2,34;2,55;
 19:26:52 ;1,82;2,04;
 19:26:53 ;1,37;1,57;
 19:26:53 ;1,13;1,26;
 19:26:53 ;1,3;1,29;
 19:26:53 ;1,58;1,5;
 19:26:53 ;2,02;1,87;
 19:26:53 ;2,57;2,36;
 19:26:53 ;3,12;2,89;
 19:26:53 ;3,26;3,15;
 19:26:53 ;3,11;3,12;
 19:26:53 ;2,94;3;
 19:26:53 ;2,55;2,68;
 19:26:53 ;2;2,21;
 19:26:53 ;1,51;1,72;
 19:26:53 ;1,24;1,38;
 19:26:53 ;1,21;1,26;
 19:26:53 ;1,38;1,34;
 19:26:53 ;1,7;1,59;
 19:26:53 ;1,17;1,28;
 19:26:53 ;1,3;1,3;
 19:26:53 ;1,65;1,54;
 19:26:53 ;2,07;1,91;
 19:26:53 ;2,42;2,27;
 19:26:53 ;2,91;2,72;
 19:26:53 ;3,63;3,36;
 19:26:53 ;2,76;2,94;
 19:26:53 ;2,98;2,97;
 19:26:53 ;2,52;2,66;
 19:26:54 ;2,01;2,21;
 19:26:54 ;1,63;1,8;
 19:26:54 ;1,46;1,56;
 19:26:54 ;1,41;1,46;
 19:26:54 ;1,46;1,46;
 19:26:54 ;1,72;1,64;
 19:26:54 ;2,2;2,04;
